abzas,абзац
aksent,акцент
avianoses,авианосец
batsilla,бацилла
biomitsin,биомицин
botsman,боцман
bronenoses,броненосец
brutselloz,бруцеллоз
cherepitsa,черепица
dotsent,доцент
fransuz,француз
gaubitsa,гаубица
gers,герц
glitserin,глицерин
gorchitsa,горчица
gusenitsa,гусеница
inersiya,инерция
inssenirovka,инсценировка
kalsiy,кальций
kansler,канцлер
koeffitsient,коэффициент
konferens-zal,конференц-зал
konsepsiya,консепция
konsern,концерн
konsert,концерт
konslager,концлагер
kultivatsiya,культивация
kvars,кварц
litsey,лицей
lotsman,лоцман
marganes,марганец
minonoses,миноносец
munitsipalitet,муниципалитет
ofitsiant,официант
penitsillin,пенициллин
platsdarm,плацдарм
platskarta,плацкарта
politsmeyster,полицмейстер
jinsiyat,жинсият
pensiya,пенсия
ranes,ранец
ritsar,рицарь
sellofan,целлофан
selluloid,целлюлоид
selluloza,целлюлоза
selsiy,цельсий
sement,цемент
sentner,центнер
sentrifuga,центрифуга
senz,ценз
senzor,цензор
senzura,цензура
sex,цех
shnitsel,шницель
shveysar,швейцар
siferblat,циферблат
silindr,цилиндр
silindrik,цилиндрик
singa,цинга
sink,цинк
sirk,цирк
sirkulyar,циркуляр
sisterna,цистерна
sitrus,цитрус
sotsiologik,социологик
sotsiologiya,социология
ssenariy,сценарий
kultivator,культиватор
kultivatsiya,культивация
kuryer,курьер
lager,лагерь
losos,лосось
mebel,мебель
medal,медаль
medalyon,медальон
menshevik,меньшевик
menshevizm,меньшевизм
migren,мигрень
mikrofilm,микрофильм
mil,миль
model,модель
neft,нефть
nikel,никель
nippel,ниппель
nol,ноль
noyabr,ноябрь
oktabr,октябрь
palto,пальто
panel,панель
parallel,параллель
parol,пароль
parter,партьер
patrul,патруль
pavilyon,павильон
pedal,педаль
plastir,пластирь
pochtalyon,почтальон
porshen,поршень
portfel,портфель
povest,повесть
predoxranitel,предохранитель
premyera,премьера
pristan,пристань
puls,пульс
pyesa,пьеса
rels,рельс
relyef,рельеф
rentabel,рентабель
rezba,резьба
ritsar,рицарь
rol,роль
royal,рояль
rul,руль
seld,сельд
selsiy,цельсий
sentabr,сентябрь
shinel,шинель
shnitsel,шницель
shpatel,шпатель
shpilka,шпилька
shpindel,шпиндель
shtapel,штапель
shtempel,штемпель
shtepsel,штепсель
spektakl,спектакль
spiral,спираль
sterjen,стержень
sudya,судья
sulfat,сульфат
tabel,табель
tekstil,текстиль
tokar,токарь
tulen,тюлень
tunnel,туннель
umivalnik,умивальник
valeryanka,валерьянка
vals,вальс
veksel,вексель
velvet,вельвет
ventil,вентиль
vermishel,вермишель
vimpel,вимпель
violonchel,виолончель
volfram,вольфрам
volt,вольт
volta,вольта
voltmetr,вольтметр
vulgar,вульгар
yakor,якорь
yanvar,январь
yuriskonsult,юрисконсульт
ansambl,ансамбль
artel,артель
artikl,артикль
aryergard,арьергард
asfalt,асфальт
atelye,ателье
avtomobil,автомобиль
balzam,бальзам
banderol,бандероль
batalyon,батальон
bilyard,бильярд
binokl,бинокль
bolshevik,большевик
budilnik,будильник
bulvar,бульвар
dalton,дальтон
dekabr,декабрь
delfin,дельфин
devalvatsiya,девальвация
dirijabl,дирижабль
dizel,дизель
dizel-motor,дизель-мотор
duel,дуэль
dvigatel,двигатель
emulsiya,эмульсия
eskadrilya,эскадрилья
fakultativ,факультатив
fakultet,факультет
falsifikator,фальсификатор
falsifikatsiya,фальсификация
feldmarshal,фельдмаршал
feldsher,фельдшер
festival,фестиваль
fevral,февраль
filtr,фильтр
folklor,фольклор
fotoalbom,фотоальбом
fotoatelye,фотоателье
gantel,гантель
gastrol,гастроль
gilza,гильза
gospital,госпиталь
gotovalniy,готовальний
grifel,грифель
impuls,импульс
insult,инсульт
intervyu,интервью
inyeksiya,иньекция
italyan,итальян
iyul,июль
iyun,июнь
kabel,кабель
kalendar,календарь
kanifol,канифоль
karamel,карамель
kartel,картель
karusel,карусель
katapulta,катапульта
kinofestival,кинофестиваль
kinofilm,кинофильм
kisel,кисель
kitel,китель
kobalt,кобальт
kompanyon,компаньон
konferansye,конферансье
obyekt,объект
razyezd,разъезд
subyekt,субъект
syezd,съезд
syomka,съёмка
Abzas,Абзац
Aksent,Акцент
Avianoses,Авианосец
Batsilla,Бацилла
Biomitsin,Биомицин
Botsman,Боцман
Bronenoses,Броненосец
Brutselloz,Бруцеллоз
Cherepitsa,Черепица
Dotsent,Доцент
Fransuz,Француз
Gaubitsa,Гаубица
Gers,Герц
Glitserin,Глицерин
Gorchitsa,Горчица
Gusenitsa,Гусеница
Inersiya,Инерция
Inssenirovka,Инсценировка
Kalsiy,Кальций
Kansler,Канцлер
Koeffitsient,Коэффициент
Konferens-Zal,Конференц-Зал
Konsepsiya,Консепция
Konsern,Концерн
Konsert,Концерт
Konslager,Концлагер
Kultivatsiya,Культивация
Kvars,Кварц
Litsey,Лицей
Lotsman,Лоцман
Marganes,Марганец
Minonoses,Миноносец
Munitsipalitet,Муниципалитет
Ofitsiant,Официант
Penitsillin,Пенициллин
Platsdarm,Плацдарм
Platskarta,Плацкарта
Politsmeyster,Полицмейстер
Jinsiyat,Жинсият
Pensiya,Пенсия
Ranes,Ранец
Ritsar,Рицарь
Sellofan,Целлофан
Selluloid,Целлюлоид
Selluloza,Целлюлоза
Selsiy,Цельсий
Sement,Цемент
Sentner,Центнер
Sentrifuga,Центрифуга
Senz,Ценз
Senzor,Цензор
Senzura,Цензура
Sex,Цех
Shnitsel,Шницель
Shveysar,Швейцар
Siferblat,Циферблат
Silindr,Цилиндр
Silindrik,Цилиндрик
Singa,Цинга
Sink,Цинк
Sirk,Цирк
Sirkulyar,Циркуляр
Sisterna,Цистерна
Sitrus,Цитрус
Sotsiologik,Социологик
Sotsiologiya,Социология
Ssenariy,Сценарий
Kultivator,Культиватор
Kultivatsiya,Культивация
Kuryer,Курьер
Lager,Лагерь
Losos,Лосось
Mebel,Мебель
Medal,Медаль
Medalyon,Медальон
Menshevik,Меньшевик
Menshevizm,Меньшевизм
Migren,Мигрень
Mikrofilm,Микрофильм
 Mil , Миль
Model,Модель
Neft,Нефть
Nikel,Никель
Nippel,Ниппель
Nol,Ноль
Noyabr,Ноябрь
Oktabr,Октябрь
Palto,Пальто
Panel,Панель
Parallel,Параллель
Parol,Пароль
Parter,Партьер
Patrul,Патруль
Pavilyon,Павильон
Pedal,Педаль
Plastir,Пластирь
Pochtalyon,Почтальон
Porshen,Поршень
Portfel,Портфель
Povest,Повесть
Predoxranitel,Предохранитель
Premyera,Премьера
Pristan,Пристань
Puls,Пульс
Pyesa,Пьеса
Rels,Рельс
Relyef,Рельеф
Rentabel,Рентабель
Rezba,Резьба
Ritsar,Рицарь
Rol,Роль
Royal,Рояль
Rul,Руль
Seld,Сельд
Selsiy,Цельсий
Sentabr,Сентябрь
Shinel,Шинель
Shnitsel,Шницель
Shpatel,Шпатель
Shpilka,Шпилька
Shpindel,Шпиндель
Shtapel,Штапель
Shtempel,Штемпель
Shtepsel,Штепсель
Spektakl,Спектакль
Spiral,Спираль
Sterjen,Стержень
Sudya,Судья
Sulfat,Сульфат
Tabel,Табель
Tekstil,Текстиль
Tokar,Токарь
Tulen,Тюлень
Tunnel,Туннель
Umivalnik,Умивальник
Valeryanka,Валерьянка
Vals,Вальс
Veksel,Вексель
Velvet,Вельвет
Ventil,Вентиль
Vermishel,Вермишель
Vimpel,Вимпель
Violonchel,Виолончель
Volfram,Вольфрам
Volt,Вольт
Volta,Вольта
Voltmetr,Вольтметр
Vulgar,Вульгар
Yakor,Якорь
Yanvar,Январь
Yuriskonsult,Юрисконсульт
Ansambl,Ансамбль
Artel,Артель
Artikl,Артикль
Aryergard,Арьергард
Asfalt,Асфальт
Atelye,Ателье
Avtomobil,Автомобиль
Balzam,Бальзам
Banderol,Бандероль
Batalyon,Батальон
Bilyard,Бильярд
Binokl,Бинокль
Bolshevik,Большевик
Budilnik,Будильник
Bulvar,Бульвар
Dalton,Дальтон
Dekabr,Декабрь
Delfin,Дельфин
Devalvatsiya,Девальвация
Dirijabl,Дирижабль
Dizel,Дизель
Dizel-Motor,Дизель-Мотор
Duel,Дуэль
Dvigatel,Двигатель
Emulsiya,Эмульсия
Eskadrilya,Эскадрилья
Fakultativ,Факультатив
Fakultet,Факультет
Falsifikator,Фальсификатор
Falsifikatsiya,Фальсификация
Feldmarshal,Фельдмаршал
Feldsher,Фельдшер
Festival,Фестиваль
Fevral,Февраль
Filtr,Фильтр
Folklor,Фольклор
Fotoalbom,Фотоальбом
Fotoatelye,Фотоателье
Gantel,Гантель
Gastrol,Гастроль
Gilza,Гильза
Gospital,Госпиталь
Gotovalniy,Готовальний
Grifel,Грифель
Impuls,Импульс
Insult,Инсульт
Intervyu,Интервью
Inyeksiya,Иньекция
Italyan,Итальян
Iyul,Июль
Iyun,Июнь
Kabel,Кабель
Kalendar,Календарь
Kanifol,Канифоль
Karamel,Карамель
Kartel,Картель
Karusel,Карусель
Katapulta,Катапульта
Kinofestival,Кинофестиваль
Kinofilm,Кинофильм
Kisel,Кисель
Kitel,Китель
Kobalt,Кобальт
Kompanyon,Компаньон
Konferansye,Конферансье
Obyekt,Объект
Razyezd,Разъезд
Subyekt,Субъект
Syezd,Съезд
Syomka,Съёмка
ABZAS,АБЗАЦ
AKSENT,АКЦЕНТ
AVIANOSES,АВИАНОСЕЦ
BATSILLA,БАЦИЛЛА
BIOMITSIN,БИОМИЦИН
BOTSMAN,БОЦМАН
BRONENOSES,БРОНЕНОСЕЦ
BRUTSELLOZ,БРУЦЕЛЛОЗ
CHEREPITSA,ЧЕРЕПИЦА
DOTSENT,ДОЦЕНТ
FRANSUZ,ФРАНЦУЗ
GAUBITSA,ГАУБИЦА
GERS,ГЕРЦ
GLITSERIN,ГЛИЦЕРИН
GORCHITSA,ГОРЧИЦА
GUSENITSA,ГУСЕНИЦА
INERSIYA,ИНЕРЦИЯ
INSSENIROVKA,ИНСЦЕНИРОВКА
KALSIY,КАЛЬЦИЙ
KANSLER,КАНЦЛЕР
KOEFFITSIENT,КОЭФФИЦИЕНТ
KONFERENS-ZAL,КОНФЕРЕНЦ-ЗАЛ
KONSEPSIYA,КОНСЕПЦИЯ
KONSERN,КОНЦЕРН
KONSERT,КОНЦЕРТ
KONSLAGER,КОНЦЛАГЕР
KULTIVATSIYA,КУЛЬТИВАЦИЯ
KVARS,КВАРЦ
LITSEY,ЛИЦЕЙ
LOTSMAN,ЛОЦМАН
MARGANES,МАРГАНЕЦ
MINONOSES,МИНОНОСЕЦ
MUNITSIPALITET,МУНИЦИПАЛИТЕТ
OFITSIANT,ОФИЦИАНТ
PENITSILLIN,ПЕНИЦИЛЛИН
PLATSDARM,ПЛАЦДАРМ
PLATSKARTA,ПЛАЦКАРТА
POLITSMEYSTER,ПОЛИЦМЕЙСТЕР
JINSIYAT,ЖИНСИЯТ
PENSIYA,ПЕНСИЯ
RANES,РАНЕЦ
RITSAR,РИЦАРЬ
SELLOFAN,ЦЕЛЛОФАН
SELLULOID,ЦЕЛЛЮЛОИД
SELLULOZA,ЦЕЛЛЮЛОЗА
SELSIY,ЦЕЛЬСИЙ
SEMENT,ЦЕМЕНТ
SENTNER,ЦЕНТНЕР
SENTRIFUGA,ЦЕНТРИФУГА
SENZ,ЦЕНЗ
SENZOR,ЦЕНЗОР
SENZURA,ЦЕНЗУРА
SEX,ЦЕХ
SHNITSEL,ШНИЦЕЛЬ
SHVEYSAR,ШВЕЙЦАР
SIFERBLAT,ЦИФЕРБЛАТ
SILINDR,ЦИЛИНДР
SILINDRIK,ЦИЛИНДРИК
SINGA,ЦИНГА
SINK,ЦИНК
SIRK,ЦИРК
SIRKULYAR,ЦИРКУЛЯР
SISTERNA,ЦИСТЕРНА
SITRUS,ЦИТРУС
SOTSIOLOGIK,СОЦИОЛОГИК
SOTSIOLOGIYA,СОЦИОЛОГИЯ
SSENARIY,СЦЕНАРИЙ
KULTIVATOR,КУЛЬТИВАТОР
KULTIVATSIYA,КУЛЬТИВАЦИЯ
KURYER,КУРЬЕР
LAGER,ЛАГЕРЬ
LOSOS,ЛОСОСЬ
MEBEL,МЕБЕЛЬ
MEDAL,МЕДАЛЬ
MEDALYON,МЕДАЛЬОН
MENSHEVIK,МЕНЬШЕВИК
MENSHEVIZM,МЕНЬШЕВИЗМ
MIGREN,МИГРЕНЬ
MIKROFILM,МИКРОФИЛЬМ
 MIL , МИЛЬ
MODEL,МОДЕЛЬ
NEFT,НЕФТЬ
NIKEL,НИКЕЛЬ
NIPPEL,НИППЕЛЬ
NOL,НОЛЬ
NOYABR,НОЯБРЬ
OKTABR,ОКТЯБРЬ
PALTO,ПАЛЬТО
PANEL,ПАНЕЛЬ
PARALLEL,ПАРАЛЛЕЛЬ
PAROL,ПАРОЛЬ
PARTER,ПАРТЬЕР
PATRUL,ПАТРУЛЬ
PAVILYON,ПАВИЛЬОН
PEDAL,ПЕДАЛЬ
PLASTIR,ПЛАСТИРЬ
POCHTALYON,ПОЧТАЛЬОН
PORSHEN,ПОРШЕНЬ
PORTFEL,ПОРТФЕЛЬ
POVEST,ПОВЕСТЬ
PREDOXRANITEL,ПРЕДОХРАНИТЕЛЬ
PREMYERA,ПРЕМЬЕРА
PRISTAN,ПРИСТАНЬ
PULS,ПУЛЬС
PYESA,ПЬЕСА
RELS,РЕЛЬС
RELYEF,РЕЛЬЕФ
RENTABEL,РЕНТАБЕЛЬ
REZBA,РЕЗЬБА
RITSAR,РИЦАРЬ
ROL,РОЛЬ
ROYAL,РОЯЛЬ
RUL,РУЛЬ
SELD,СЕЛЬД
SELSIY,ЦЕЛЬСИЙ
SENTABR,СЕНТЯБРЬ
SHINEL,ШИНЕЛЬ
SHNITSEL,ШНИЦЕЛЬ
SHPATEL,ШПАТЕЛЬ
SHPILKA,ШПИЛЬКА
SHPINDEL,ШПИНДЕЛЬ
SHTAPEL,ШТАПЕЛЬ
SHTEMPEL,ШТЕМПЕЛЬ
SHTEPSEL,ШТЕПСЕЛЬ
SPEKTAKL,СПЕКТАКЛЬ
SPIRAL,СПИРАЛЬ
STERJEN,СТЕРЖЕНЬ
SUDYA,СУДЬЯ
SULFAT,СУЛЬФАТ
TABEL,ТАБЕЛЬ
TEKSTIL,ТЕКСТИЛЬ
TOKAR,ТОКАРЬ
TULEN,ТЮЛЕНЬ
TUNNEL,ТУННЕЛЬ
UMIVALNIK,УМИВАЛЬНИК
VALERYANKA,ВАЛЕРЬЯНКА
VALS,ВАЛЬС
VEKSEL,ВЕКСЕЛЬ
VELVET,ВЕЛЬВЕТ
VENTIL,ВЕНТИЛЬ
VERMISHEL,ВЕРМИШЕЛЬ
VIMPEL,ВИМПЕЛЬ
VIOLONCHEL,ВИОЛОНЧЕЛЬ
VOLFRAM,ВОЛЬФРАМ
VOLT,ВОЛЬТ
VOLTA,ВОЛЬТА
VOLTMETR,ВОЛЬТМЕТР
VULGAR,ВУЛЬГАР
YAKOR,ЯКОРЬ
YANVAR,ЯНВАРЬ
YURISKONSULT,ЮРИСКОНСУЛЬТ
ANSAMBL,АНСАМБЛЬ
ARTEL,АРТЕЛЬ
ARTIKL,АРТИКЛЬ
ARYERGARD,АРЬЕРГАРД
ASFALT,АСФАЛЬТ
ATELYE,АТЕЛЬЕ
AVTOMOBIL,АВТОМОБИЛЬ
BALZAM,БАЛЬЗАМ
BANDEROL,БАНДЕРОЛЬ
BATALYON,БАТАЛЬОН
BILYARD,БИЛЬЯРД
BINOKL,БИНОКЛЬ
BOLSHEVIK,БОЛЬШЕВИК
BUDILNIK,БУДИЛЬНИК
BULVAR,БУЛЬВАР
DALTON,ДАЛЬТОН
DEKABR,ДЕКАБРЬ
DELFIN,ДЕЛЬФИН
DEVALVATSIYA,ДЕВАЛЬВАЦИЯ
DIRIJABL,ДИРИЖАБЛЬ
DIZEL,ДИЗЕЛЬ
DIZEL-MOTOR,ДИЗЕЛЬ-МОТОР
DUEL,ДУЭЛЬ
DVIGATEL,ДВИГАТЕЛЬ
EMULSIYA,ЭМУЛЬСИЯ
ESKADRILYA,ЭСКАДРИЛЬЯ
FAKULTATIV,ФАКУЛЬТАТИВ
FAKULTET,ФАКУЛЬТЕТ
FALSIFIKATOR,ФАЛЬСИФИКАТОР
FALSIFIKATSIYA,ФАЛЬСИФИКАЦИЯ
FELDMARSHAL,ФЕЛЬДМАРШАЛ
FELDSHER,ФЕЛЬДШЕР
FESTIVAL,ФЕСТИВАЛЬ
FEVRAL,ФЕВРАЛЬ
FILTR,ФИЛЬТР
FOLKLOR,ФОЛЬКЛОР
FOTOALBOM,ФОТОАЛЬБОМ
FOTOATELYE,ФОТОАТЕЛЬЕ
GANTEL,ГАНТЕЛЬ
GASTROL,ГАСТРОЛЬ
GILZA,ГИЛЬЗА
GOSPITAL,ГОСПИТАЛЬ
GOTOVALNIY,ГОТОВАЛЬНИЙ
GRIFEL,ГРИФЕЛЬ
IMPULS,ИМПУЛЬС
INSULT,ИНСУЛЬТ
INTERVYU,ИНТЕРВЬЮ
INYEKSIYA,ИНЬЕКЦИЯ
ITALYAN,ИТАЛЬЯН
IYUL,ИЮЛЬ
IYUN,ИЮНЬ
KABEL,КАБЕЛЬ
KALENDAR,КАЛЕНДАРЬ
KANIFOL,КАНИФОЛЬ
KARAMEL,КАРАМЕЛЬ
KARTEL,КАРТЕЛЬ
KARUSEL,КАРУСЕЛЬ
KATAPULTA,КАТАПУЛЬТА
KINOFESTIVAL,КИНОФЕСТИВАЛЬ
KINOFILM,КИНОФИЛЬМ
KISEL,КИСЕЛЬ
KITEL,КИТЕЛЬ
KOBALT,КОБАЛЬТ
KOMPANYON,КОМПАНЬОН
KONFERANSYE,КОНФЕРАНСЬЕ
OBYEKT,ОБЪЕКТ
RAZYEZD,РАЗЪЕЗД
SUBYEKT,СУБЪЕКТ
SYEZD,СЪЕЗД
SYOMKA,СЪЁМКА
korrupsiya,коррупция
Korrupsiya,Коррупция
KORRUPSIYA,КОРРУПЦИЯ
konyuktura,конъюнктура
Konyuktura,Конъюнктура
KONYUKTURA,КОНЪЮНКТУРА
adyunktura,адъюнктура
Adyunktura,Адъюнктура
ADYUNKTURA,АДЪЮНКТУРА
