nuqtayi,нуқтаи
adoyi,адои
abzas,абзац
aksent,акцент
avianoses,авианосец
batsilla,бацилла
biomitsin,биомицин
botsman,боцман
bronenoses,броненосец
brutselloz,бруцеллоз
cherepitsa,черепица
dotsent,доцент
fransuz,француз
gaubitsa,гаубица
gers,герц
glitserin,глицерин
gorchitsa,горчица
gusenitsa,гусеница
inersiya,инерция
inssenirovka,инсценировка
kalsiy,кальций
kansler,канцлер
koeffitsient,коэффициент
konferens-zal,конференц-зал
konsepsiya,консепция
konsern,концерн
konsert,концерт
konslager,концлагер
kultivatsiya,культивация
kvars,кварц
litsey,лицей
lotsman,лоцман
marganes,марганец
minonoses,миноносец
munitsipalitet,муниципалитет
ofitsiant,официант
penitsillin,пенициллин
platsdarm,плацдарм
platskarta,плацкарта
politsmeyster,полицмейстер
jinsiyat,жинсият
pensiya,пенсия
ranes,ранец
ritsar,рицарь
sellofan,целлофан
selluloid,целлюлоид
selluloza,целлюлоза
selsiy,цельсий
sement,цемент
sentner,центнер
sentrifuga,центрифуга
senz,ценз
senzor,цензор
senzura,цензура
sex,цех
shnitsel,шницель
shveysar,швейцар
siferblat,циферблат
silindr,цилиндр
silindrik,цилиндрик
singa,цинга
sink,цинк
sirk,цирк
sirkulyar,циркуляр
sisterna,цистерна
sitrus,цитрус
sotsiologik,социологик
sotsiologiya,социология
ssenariy,сценарий
kultivator,культиватор
kuryer,курьер
lager,лагерь
losos,лосось
mebel,мебель
medal,медаль
medalyon,медальон
menshevik,меньшевик
menshevizm,меньшевизм
migren,мигрень
mikrofilm,микрофильм
model,модель
neft,нефть
nikel,никель
nippel,ниппель
nol,ноль
noyabr,ноябрь
oktabr,октябрь
palto,пальто
panel,панель
parallel,параллель
parol,пароль
parter,партьер
patrul,патруль
pavilyon,павильон
pedal,педаль
plastir,пластирь
pochtalyon,почтальон
porshen,поршень
portfel,портфель
povest,повесть
predoxranitel,предохранитель
premyera,премьера
pristan,пристань
puls,пульс
pyesa,пьеса
rels,рельс
relyef,рельеф
rentabel,рентабель
rezba,резьба
rol,роль
royal,рояль
rul,руль
seld,сельд
sentabr,сентябрь
shinel,шинель
shpatel,шпатель
shpilka,шпилька
shpindel,шпиндель
shtapel,штапель
shtempel,штемпель
shtepsel,штепсель
spektakl,спектакль
spiral,спираль
sterjen,стержень
sudya,судья
sulfat,сульфат
tabel,табель
tekstil,текстиль
tokar,токарь
tulen,тюлень
tunnel,туннель
umivalnik,умивальник
valeryanka,валерьянка
vals,вальс
veksel,вексель
velvet,вельвет
ventil,вентиль
vermishel,вермишель
vimpel,вимпель
violonchel,виолончель
volfram,вольфрам
volt,вольт
volta,вольта
voltmetr,вольтметр
vulgar,вульгар
yakor,якорь
yanvar,январь
yuriskonsult,юрисконсульт
ansambl,ансамбль
artel,артель
artikl,артикль
aryergard,арьергард
asfalt,асфальт
atelye,ателье
